Rule_ID,e_d (Forward Distance Error),e_d_dot (Forward Distance Error Rate),e_l (Lateral Error),e_l_dot (Lateral Error Rate),v (Linear Velocity),omega (Angular Velocity)
1,VN,NB,NB,NB,S,PS
2,VN,NB,NB,NS,S,PS
3,VN,NB,NB,ZO,S,PS
4,VN,NB,NB,PS,S,ZO
5,VN,NB,NB,PB,S,ZO
6,VN,NB,NS,NB,S,PS
7,VN,NB,NS,NS,S,PS
8,VN,NB,NS,ZO,S,ZO
9,VN,NB,NS,PS,S,ZO
10,VN,NB,NS,PB,S,ZO
11,VN,NB,ZO,NB,S,ZO
12,VN,NB,ZO,NS,S,ZO
13,VN,NB,ZO,ZO,S,ZO
14,VN,NB,ZO,PS,S,ZO
15,VN,NB,ZO,PB,S,ZO
16,VN,NB,PS,NB,S,ZO
17,VN,NB,PS,NS,S,ZO
18,VN,NB,PS,ZO,S,ZO
19,VN,NB,PS,PS,S,NS
20,VN,NB,PS,PB,S,NS
21,VN,NB,PB,NB,S,ZO
22,VN,NB,PB,NS,S,ZO
23,VN,NB,PB,ZO,S,NS
24,VN,NB,PB,PS,S,NS
25,VN,NB,PB,PB,S,NS
26,VN,NS,NB,NB,S,PS
27,VN,NS,NB,NS,S,PS
28,VN,NS,NB,ZO,S,PS
29,VN,NS,NB,PS,S,ZO
30,VN,NS,NB,PB,S,ZO
31,VN,NS,NS,NB,S,PS
32,VN,NS,NS,NS,S,PS
33,VN,NS,NS,ZO,S,ZO
34,VN,NS,NS,PS,S,ZO
35,VN,NS,NS,PB,S,ZO
36,VN,NS,ZO,NB,S,ZO
37,VN,NS,ZO,NS,S,ZO
38,VN,NS,ZO,ZO,S,ZO
39,VN,NS,ZO,PS,S,ZO
40,VN,NS,ZO,PB,S,ZO
41,VN,NS,PS,NB,S,ZO
42,VN,NS,PS,NS,S,ZO
43,VN,NS,PS,ZO,S,ZO
44,VN,NS,PS,PS,S,NS
45,VN,NS,PS,PB,S,NS
46,VN,NS,PB,NB,S,ZO
47,VN,NS,PB,NS,S,ZO
48,VN,NS,PB,ZO,S,NS
49,VN,NS,PB,PS,S,NS
50,VN,NS,PB,PB,S,NS
51,VN,ZO,NB,NB,S,PS
52,VN,ZO,NB,NS,S,PS
53,VN,ZO,NB,ZO,S,PS
54,VN,ZO,NB,PS,S,ZO
55,VN,ZO,NB,PB,S,ZO
56,VN,ZO,NS,NB,S,PS
57,VN,ZO,NS,NS,S,PS
58,VN,ZO,NS,ZO,S,ZO
59,VN,ZO,NS,PS,S,ZO
60,VN,ZO,NS,PB,S,ZO
61,VN,ZO,ZO,NB,S,ZO
62,VN,ZO,ZO,NS,S,ZO
63,VN,ZO,ZO,ZO,S,ZO
64,VN,ZO,ZO,PS,S,ZO
65,VN,ZO,ZO,PB,S,ZO
66,VN,ZO,PS,NB,S,ZO
67,VN,ZO,PS,NS,S,ZO
68,VN,ZO,PS,ZO,S,ZO
69,VN,ZO,PS,PS,S,NS
70,VN,ZO,PS,PB,S,NS
71,VN,ZO,PB,NB,S,ZO
72,VN,ZO,PB,NS,S,ZO
73,VN,ZO,PB,ZO,S,NS
74,VN,ZO,PB,PS,S,NS
75,VN,ZO,PB,PB,S,NS
76,VN,PS,NB,NB,S,PS
77,VN,PS,NB,NS,S,PS
78,VN,PS,NB,ZO,S,PS
79,VN,PS,NB,PS,S,ZO
80,VN,PS,NB,PB,S,ZO
81,VN,PS,NS,NB,S,PS
82,VN,PS,NS,NS,S,PS
83,VN,PS,NS,ZO,S,ZO
84,VN,PS,NS,PS,S,ZO
85,VN,PS,NS,PB,S,ZO
86,VN,PS,ZO,NB,VS,ZO
87,VN,PS,ZO,NS,VS,ZO
88,VN,PS,ZO,ZO,VS,ZO
89,VN,PS,ZO,PS,VS,ZO
90,VN,PS,ZO,PB,VS,ZO
91,VN,PS,PS,NB,S,ZO
92,VN,PS,PS,NS,S,ZO
93,VN,PS,PS,ZO,S,ZO
94,VN,PS,PS,PS,S,NS
95,VN,PS,PS,PB,S,NS
96,VN,PS,PB,NB,S,ZO
97,VN,PS,PB,NS,S,ZO
98,VN,PS,PB,ZO,S,NS
99,VN,PS,PB,PS,S,NS
100,VN,PS,PB,PB,S,NS
101,VN,PB,NB,NB,S,PS
102,VN,PB,NB,NS,S,PS
103,VN,PB,NB,ZO,S,PS
104,VN,PB,NB,PS,S,ZO
105,VN,PB,NB,PB,S,ZO
106,VN,PB,NS,NB,S,PS
107,VN,PB,NS,NS,S,PS
108,VN,PB,NS,ZO,S,ZO
109,VN,PB,NS,PS,S,ZO
110,VN,PB,NS,PB,S,ZO
111,VN,PB,ZO,NB,VS,ZO
112,VN,PB,ZO,NS,VS,ZO
113,VN,PB,ZO,ZO,VS,ZO
114,VN,PB,ZO,PS,VS,ZO
115,VN,PB,ZO,PB,VS,ZO
116,VN,PB,PS,NB,S,ZO
117,VN,PB,PS,NS,S,ZO
118,VN,PB,PS,ZO,S,ZO
119,VN,PB,PS,PS,S,NS
120,VN,PB,PS,PB,S,NS
121,VN,PB,PB,NB,S,ZO
122,VN,PB,PB,NS,S,ZO
123,VN,PB,PB,ZO,S,NS
124,VN,PB,PB,PS,S,NS
125,VN,PB,PB,PB,S,NS
126,N,NB,NB,NB,S,PB
127,N,NB,NB,NS,S,PB
128,N,NB,NB,ZO,S,PB
129,N,NB,NB,PS,S,PS
130,N,NB,NB,PB,S,PS
131,N,NB,NS,NB,S,PB
132,N,NB,NS,NS,S,PB
133,N,NB,NS,ZO,S,PS
134,N,NB,NS,PS,S,PS
135,N,NB,NS,PB,S,PS
136,N,NB,ZO,NB,S,PS
137,N,NB,ZO,NS,S,PS
138,N,NB,ZO,ZO,S,ZO
139,N,NB,ZO,PS,S,NS
140,N,NB,ZO,PB,S,NS
141,N,NB,PS,NB,S,NS
142,N,NB,PS,NS,S,NS
143,N,NB,PS,ZO,S,NS
144,N,NB,PS,PS,S,NB
145,N,NB,PS,PB,S,NB
146,N,NB,PB,NB,S,NS
147,N,NB,PB,NS,S,NS
148,N,NB,PB,ZO,S,NB
149,N,NB,PB,PS,S,NB
150,N,NB,PB,PB,S,NB
151,N,NS,NB,NB,S,PB
152,N,NS,NB,NS,S,PB
153,N,NS,NB,ZO,S,PB
154,N,NS,NB,PS,S,PS
155,N,NS,NB,PB,S,PS
156,N,NS,NS,NB,S,PB
157,N,NS,NS,NS,S,PB
158,N,NS,NS,ZO,S,PS
159,N,NS,NS,PS,S,PS
160,N,NS,NS,PB,S,PS
161,N,NS,ZO,NB,VS,PS
162,N,NS,ZO,NS,VS,PS
163,N,NS,ZO,ZO,VS,ZO
164,N,NS,ZO,PS,VS,NS
165,N,NS,ZO,PB,VS,NS
166,N,NS,PS,NB,S,NS
167,N,NS,PS,NS,S,NS
168,N,NS,PS,ZO,S,NS
169,N,NS,PS,PS,S,NB
170,N,NS,PS,PB,S,NB
171,N,NS,PB,NB,S,NS
172,N,NS,PB,NS,S,NS
173,N,NS,PB,ZO,S,NB
174,N,NS,PB,PS,S,NB
175,N,NS,PB,PB,S,NB
176,N,ZO,NB,NB,S,PB
177,N,ZO,NB,NS,S,PB
178,N,ZO,NB,ZO,S,PB
179,N,ZO,NB,PS,S,PS
180,N,ZO,NB,PB,S,PS
181,N,ZO,NS,NB,S,PB
182,N,ZO,NS,NS,S,PB
183,N,ZO,NS,ZO,S,PS
184,N,ZO,NS,PS,S,PS
185,N,ZO,NS,PB,S,PS
186,N,ZO,ZO,NB,VS,PS
187,N,ZO,ZO,NS,VS,PS
